Simulation Time,1D (%),2D (%),Other (%)
         0.0000,     0,     0,      100
         0.0833,     1,    74,       26
         0.1667,     1,    74,       25
         0.2500,     1,    75,       24
         0.3333,     1,    75,       24
         0.4167,     1,    75,       24
         0.5000,     1,    76,       24
         0.5833,     1,    76,       23
         0.6667,     1,    76,       23
         0.7500,     1,    76,       23
         0.8333,     1,    75,       24
         0.9167,     1,    76,       24
         1.0000,     1,    76,       24
         1.0833,     1,    76,       23
         1.1667,     1,    76,       23
         1.2500,     1,    77,       22
         1.3333,     1,    77,       22
         1.4167,     1,    78,       21
         1.5000,     1,    79,       21
         1.5833,     0,    79,       20
         1.6667,     0,    80,       20
         1.7500,     0,    80,       19
         1.8333,     0,    81,       19
         1.9167,     0,    81,       19
         2.0000,     0,    81,       18
         2.0833,     0,    81,       18
         2.1667,     0,    82,       18
         2.2500,     0,    82,       18
         2.3333,     0,    82,       17
         2.4167,     0,    82,       17
         2.5000,     0,    82,       17
         2.5833,     0,    83,       17
         2.6667,     0,    83,       17
         2.7500,     0,    83,       17
         2.8333,     0,    83,       17
         2.9167,     0,    83,       16
         3.0000,     0,    83,       16
         3.0833,     0,    83,       16
         3.1667,     0,    84,       16
         3.2500,     0,    84,       16
         3.3333,     0,    84,       16
         3.4167,     0,    84,       16
         3.5000,     0,    84,       16
         3.5833,     0,    84,       16
         3.6667,     0,    84,       16
         3.7500,     0,    84,       16
         3.8333,     0,    84,       16
         3.9167,     0,    84,       16
         4.0000,     0,    84,       16
         4.0833,     0,    84,       16
         4.1667,     0,    84,       16
         4.2500,     0,    84,       16
         4.3333,     0,    84,       16
         4.4167,     0,    84,       16
         4.5000,     0,    84,       16
         4.5833,     0,    84,       16
         4.6667,     0,    84,       15
         4.7500,     0,    84,       15
         4.8333,     0,    84,       15
         4.9167,     0,    84,       15
         5.0000,     0,    84,       15
